state,action,value
0,0,0.828764
0,1,0.855881
1,0,0.828764
1,1,0.883552
2,0,0.855881
2,1,0.911788
3,0,0.883552
3,1,0.940600
4,0,0.911788
4,1,0.970000
5,0,0.940600
5,1,1.000000
6,0,0.000000
6,1,0.000000
