state,action,value
74,3,0.828606
75,0,-0.016894
75,1,0.040268
75,2,0.148653
75,3,0.855872
76,0,0.160934
76,1,0.192352
76,2,0.600710
76,3,0.883552
77,0,0.673007
77,1,0.790369
77,2,0.728970
77,3,0.911788
78,0,0.883552
78,1,0.910447
78,2,0.883552
78,3,0.940600
79,0,0.911788
79,1,0.970000
79,2,0.911788
79,3,0.940600
80,0,-0.030759
80,1,-0.031391
80,2,-0.030687
80,3,-0.032025
81,0,-0.029745
81,1,-0.029502
81,2,-0.031687
81,3,-0.030244
82,0,-0.027474
82,1,-0.027505
82,2,-0.026922
82,3,-0.026569
83,0,-0.021767
83,1,-0.023146
83,2,-0.023739
83,3,-0.022945
84,0,-0.018426
84,1,-0.018357
84,2,-0.020022
84,3,0.115406
85,0,-0.013459
85,1,0.328028
85,2,-0.015457
85,3,-0.013557
86,0,0.161457
86,1,0.124956
86,2,0.034540
86,3,0.596842
87,0,0.170540
87,1,0.206533
87,2,0.171267
87,3,0.907084
88,0,0.911788
88,1,0.965743
88,2,0.736878
88,3,0.806657
89,0,0.940600
89,1,1.000000
89,2,0.903120
89,3,0.970000
90,0,-0.029299
90,1,-0.028814
90,2,-0.028564
90,3,-0.030042
91,0,-0.029119
91,1,-0.027284
91,2,-0.027809
91,3,-0.028473
92,0,-0.025071
92,1,-0.026870
92,2,-0.025304
92,3,-0.022222
93,0,-0.021479
93,1,-0.021187
93,2,-0.020979
93,3,0.003394
94,0,-0.015396
94,1,-0.015555
94,2,-0.016438
94,3,0.086948
95,0,0.037490
95,1,0.015110
95,2,0.003160
95,3,0.525143
96,0,0.112799
96,1,-0.007952
96,2,-0.008475
96,3,0.727811
97,0,0.167051
97,1,0.148159
97,2,-0.005976
97,3,0.921668
98,0,0.305833
98,1,0.190140
98,2,0.295629
98,3,0.999915
99,0,0.000000
99,1,0.000000
99,2,0.000000
99,3,0.000000
